BOROUGHh NAME,Drug Crimes/Pop,Sex related crimes/pop,Harrasment/Assault1/pop,Weapons/pop,Others/pop
 'BRONX',91.106906,9.041914,218.443307,25.472639,414.132732
" 'BROOKLYN'	",39.839802,8.344411,164.717349,13.179178,352.746105
 'MANHATTAN',47.607871,9.71166,169.283644,14.768461,498.206161
 'QUEENS',9.058419,6.482697,124.33448,10.1259,282.20764
 'STATEN ISLAND',23.923314,5.190093,183.97119,9.368718,291.266821
