CRIME, NUMBER
GRAND LARCENY, 15971 
PETIT LARCENY, 10377
ASSAULT 3 & RELATED OFFENSES, 10254
FELONY ASSAULT, 5266
HARRASSMENT 2, 3945
OTHERS, 11252
