KY_CD, total 
DANGEROUS DRUGS, 61
GRAND LARCENY, 9
DANGEROUS DRUGS SELLING, 9
PETIT LARCENY, 8
ASSAULT 3 & RELATED, 4
HARRASSMENT 2, 2
POSS. OF STOLEN PROP., 2
SEX CRIMES, 1
OFF. AGAINST PERSON, 1
MISC. PENAL CODE, 1
