MonthlyAverage,MonthOfYear
41274.1,Jan
36372.2,Feb
42390.1,Mar
41775,Apr
44799.4,May
43938.2,Jun
45528.5,Jul
45675,Aug
43791.2,Sep
44600,Oct
40537.3,Nov
39442.1,Dec
