CRIME, NUMBER
HARRASSMENT 2,352815
ASSAULT 3 & RELATED, 274879
OFF. AGNST PUB ORD, 217063
CRIM. MISCHIEF & RELATED, 142093
BURGLARY, 132773
PETIT LARCENY, 125479
OTHERS, 477585
