KY_CD, total 
DANGEROUS DRUGS, 1561
PETIT LARCENY, 1116
GRAND LARCENY, 852
ASSAULT 3 & RELATED, 619
ROBBERY, 613
CRIM. MISCHIEF & RELATED, 362
HARRASSMENT 2, 357
FELONY ASSAULT, 327
DANGEROUS WEAPONS, 269
CRIMINAL TRESPASS, 188
