TOTAL CRIMES,BOROUGHh NAME,Population,Area(sq km),Crimes/Population,Crimes/Sq.km,Drug Crimes ,Sex related crimes,Harrasment/Assault,Weapons,Drug Crimes ,Sex related crimes,Harrasment/Assault,Weapons,,,,
1103514, 'BRONX',1455444,110,0.758197498,10031.94545,132601,13160,317932,37074,0.091106906,0.009041914,0.218443307,0.025472639,91.106906,9.041914,218.443307,25.472639
1526213," 'BROOKLYN'	",2636735,180,0.578826845,8478.961111,105047,22002,434316,34750,0.039839802,0.008344411,0.164717349,0.013179178,39.839802,8.344411,164.717349,13.179178
1216249, 'MANHATTAN',1644518,59.1,0.739577797,20579.50931,78292,15971,278390,24287,0.047607871,0.00971166,0.169283644,0.014768461,47.607871,9.71166,169.283644,14.768461
1011002, 'QUEENS',2339150,280,0.432209136,3610.721429,21189,15164,290837,23686,0.009058419,0.006482697,0.12433448,0.0101259,9.058419,6.482697,124.33448,10.1259
243790, 'STATEN ISLAND',474558,152,0.513720135,1603.881579,11353,2463,87305,4446,0.023923314,0.005190093,0.18397119,0.009368718,23.923314,5.190093,183.97119,9.368718
