CRIME, NUMBER
GRAND LARCENY,14767
PETIT LARCENY, 10615
FORGERY, 8059
ASSAULT 3 & RELATED, 7725
ROBBERY,7045
DANGEROUS WEAPONS, 7000
OFF vs PUB ADMIN, 6805
